Title,Authors,Year,Frequency Score,Recency Score,Citation Score (To review),Citations,Regional Score,School Score,Manual Score,Final Score,Syllabi Count
"Organized Crime, Violence, and Politics","Alesina, Alberto; Piccolo, Salvatore; Pinotti, Paolo",2019,0.666666667,0.496585304,0,0,0,0.5,0,0.349317061,8
Legitimacy in Criminal Governance: Managing a Drug Empire from behind Bars,"Lessing, Benjamin; Willis, Graham Denyer",2019,0.333333333,0.496585304,0,0,1,0.5,0,0.349317061,4
"Presidential Address: Aspirations, Social Norms, and Development","La Ferrara, Eliana",2019,0.166666667,0.496585304,0,0,1,1,0,0.349317061,2
Birds of a feather collude together: Subnational alignment and corruption,"Fergusson, Leopoldo; Harker, Arturo; Molina, Carlos; Yamín, Juan Camilo",2023,0.166666667,0.740818221,0,0,1,0.5,0,0.348163644,2
The Political Effects of Witnessing State Atrocities: Evidence from the Nazi Death Marches,"De Juan, Alexander; Gläßel, Christian; Haass, Felix; Scharpf, Adam",2023,0.166666667,0.740818221,0,0,1,0.5,0,0.348163644,2
Corruption in Customs,"Chalendard, Cyril; Fernandes, Ana M.; Raballand, Gael; Rijkers, Bob",2023,0.166666667,0.740818221,0,0,1,0.5,0,0.348163644,2
Corrupt Hierarchies,"Sanchez de la Sierra, Raul",2023,0.166666667,0.740818221,0,0,1,0.5,0,0.348163644,2
"Fatal Police Violence by Race and State in the USA, 1980–2019: A Network Meta-Regression",GBD 2019 Police Violence US Subnational Collaborators,2021,0.166666667,0.60653066,0,0,1,0.75,0,0.346306132,2
"I Sell My Vote, and So What? Incidence, Social Bias, and Correlates of Clientelism in Colombia","Fergusson, Leopoldo; Molina, Carlos; Riano, Juan Felipe",2018,0.166666667,0.449328964,0,0,1,1,0,0.339865793,2
Social media and collective action in China,Qin Bei; Strömberg David; Wu Yanhui,2024,0.25,0.818730753,0,0,0,1,0,0.338746151,3
From Powerholders to Stakeholders: State-Building with Elite Compensation in Early Medieval China,"Chen, Joy; Wang, Erik; Zhang, Xiaoming",2024,0.083333333,0.818730753,0,0,1,0.5,0,0.338746151,1
Media and Social Capital,"Campante, Filipe R.; Durante, Ruben; Tesei, Andrea",2021,0.166666667,0.60653066,0,0,1,0.666666667,0,0.337972799,2
"Deference, Dissent, and Dispute Resolution: An Experimental Intervention Using Mass Media to Change Norms and Behavior in Rwanda","Paluck, Elizabeth Levy; Green, Donald P.",2009,0.333333333,0.182683524,0,0,1,1,0,0.336536705,4
Social Engineering in the Tropics: A Grassroots Democratization Experiment in Eastern Congo,"Humphreys, Macartan; Sanchez de la Sierra, Raul; van der Windt, P.",2014,0.25,0.301194212,0,0,1,1,0,0.335238842,3
Asocial Capital: Civic Culture and Social Distancing During Covid-19,"Durante, Ruben; Guiso, Luigi; Gulino, Giorgio",2020,0.166666667,0.548811636,0,0,1,0.75,0,0.334762327,2
Liberation technology: Mobile phones and political mobilization in Africa,Manacorda Marco; Tesei Andrea,2020,0.583333333,0.548811636,0,0,0,0.5,0,0.334762327,7
Blood Is Thicker than Water: Elite Kinship Networks and State Building in Imperial China,"Wang, Yuhua",2022,0.083333333,0.670320046,0,0,1,0.75,0,0.334064009,1
Converging to Convergence,"Kremer, Michael; Willis, Jack; You, Yang",2022,0.166666667,0.670320046,0,0,1,0.5,0,0.334064009,2
Why We Fight: The Roots of War and the Paths to Peace,"Blattman, Christopher",2022,0.5,0.670320046,0,0,0,0.5,0,0.334064009,6
Politician Family Networks and Electoral Outcomes,"Cruz, Cesi; Labonne, Julienne; Querubin, Pablo",2017,0.166666667,0.40656966,0,0,1,1,0,0.331313932,2
Reducing Crime and Violence: Experimental Evidence from Cognitive Behavioral Therapy in Liberia,"Blattman, Christopher; Jamison, Julian C.; Sheridan, Margaret",2017,0.166666667,0.40656966,0,0,1,1,0,0.331313932,2
Forced Displacement and De Facto Land Reform in Rural Colombia,"DiTraglia, Francis; Garcia-Jimeno, Camilo",2017,0.333333333,0.40656966,0,0,1,0.5,0,0.331313932,4
Inappropriate Technology: Evidence from Global Agriculture,"Moscona, Jacob; Sastry, Karthik",2025,0.166666667,0.904837418,0,0,0,1,0,0.330967484,2
Manufacturing Revolutions: Industrial Policy and Industrialization in South Korea,"Lane, Nathan",2025,0.333333333,0.904837418,0,0,0,0.5,0,0.330967484,4
The business of the culture war,Rao Aakaash; Noy Shakked,2025,0.166666667,0.904837418,0,0,0,1,0,0.330967484,2
The Monopoly of Violence: Evidence from Colombia,"Acemoglu, Daron; Robinson, James A.; Santos, Rafael J.",2013,0.416666667,0.272531793,0,0,1,0.5,0,0.329506359,5
Industrial Policy in Production Networks,"Liu, Ernest",2019,0.166666667,0.496585304,0,0,1,0.75,0,0.324317061,2
Fiscal Capacity and Inequality: Evidence from Brazilian Municipalities,"Hollenbach, Florian; Silva, Thiago",2019,0.083333333,0.496585304,0,0,1,1,0,0.324317061,1
Intra-Elite Competition and Long-Run Fiscal Development,"Beramendi, Pablo; Dincecco, Mark; Rogers, Melissa",2019,0.083333333,0.496585304,0,0,1,1,0,0.324317061,1
Do Ghosts Exist? Clientelistic Networks and Corruption in Public Education,"Fergusson, Leopoldo; Harker, Arturo; Molina, Carlos A.; Yamín, Juan C.",2019,0.166666667,0.496585304,0,0,1,0.75,0,0.324317061,2
Jam-Barrel Politics,"Bonilla-Mejía, Leonardo; Morales, Juan S.",2019,0.25,0.496585304,0,0,1,0.5,0,0.324317061,3
Can War Foster Cooperation?,"Bauer, Michal; Blattman, Christopher; Chytilova, Julie; Henrich, Joseph; Miguel, Edward; Mitts, Tamar",2016,0.333333333,0.367879441,0,0,1,0.5,0,0.323575888,4
Birds of a feather collude together: Subnacional alignment and corruption,"Fergusson, Leopoldo; Harker, Arturo; Molina, Carlos; Yamín, Juan Camilo",2023,0.083333333,0.740818221,0,0,1,0.5,0,0.323163644,1
When Do Elites Support Increasing Taxation? Evidence from the American South,"Jensen, Jeffrey; Pardelli, Giuliana; Timmons, Jeffrey",2023,0.083333333,0.740818221,0,0,1,0.5,0,0.323163644,1
"How Research Affects Policy: Experimental Evidence from 2,150 Brazilian Municipalities","Hjort, Jonas; Moreira, Diana; Rao, Gautam; Santini, Juan",2021,0.166666667,0.60653066,0,0,1,0.5,0,0.321306132,2
"Mano Dura: An Experimental Evaluation of Military Policing in Cali, Colombia","Blair, Robert A.; Mendoza-Mora, Lucía; Weintraub, Michael",2021,0.166666667,0.60653066,0,0,1,0.5,0,0.321306132,2
The Militarization of Law Enforcement: Evidence from Latin America,"Flores-Macías, Gustavo A.; Zarkin, Jessica",2021,0.166666667,0.60653066,0,0,1,0.5,0,0.321306132,2
The Role of Officer Race and Gender in Police-Civilian Interactions in Chicago,"Ba, Bocar A.; Knox, Dean; Mummolo, Jonathan; Rivera, Roman",2021,0.166666667,0.60653066,0,0,1,0.5,0,0.321306132,2
Whither Formal Contracts?,"Sanchez de la Sierra, Raul",2021,0.166666667,0.60653066,0,0,1,0.5,0,0.321306132,2
Understanding Cultural Persistence and Change,"Giuliano, Paola; Nunn, Nathan",2021,0.166666667,0.60653066,0,0,1,0.5,0,0.321306132,2
E-lections: Voting Behavior and the Internet,"Falck, Oliver; Gold, Robert; Heblich, Stephan",2014,0.166666667,0.301194212,0,0,1,1,0,0.310238842,2
A History of Violence: The Culture of Honor as a Determinant of Homicide in the US South,"Grosjean, Pauline",2014,0.166666667,0.301194212,0,0,1,1,0,0.310238842,2
Politics in the Facebook Era - Evidence from the 2016 US Presidential Elections,Liberini Federica; Redoano Michela; Russo Antonio; Cuevas Ángel; Cuevas Rubén,2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
Can Entertainment Media Undermine Dictatorship? Evidence from Brazil's Novellas,"Chong, Alberto; Ferraz, Claudio; Finan, Frederico; La Ferrara, Eliana; Meloni, Luis",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
The Geography of Repression and Opposition to Autocracy,"Bautista, María Angélica",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
Lost in Transition? The Persistence of Dictatorship Mayors,"Gonzalez, Felipe",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
The Privatization Origins of Political Corporations: Evidence from the Pinochet Regime,"Gonzalez, Felipe",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
The Political Economy of Populism,"Guriev, Sergei; Papaioannou, Elias",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
"Institutionalized Police Brutality: Torture, the Militarization of Security, and the Reform of Inquisitorial Criminal Justice in Mexico","Magaloni, Beatriz; Rodriguez, Luis",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
Ethnically Biased? Experimental Evidence from Kenya,"Berge, Lars Ivar Oppedal; Bjorvatn, Kjetil; Galle, Simon; Miguel, Edward; Posner, Daniel; Tungodden, Bertil; Zhang, Kelly",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
Building Nations through Shared Experiences: Evidence from African Football,"Depetris-Chauvin, Emilio; Durante, Ruben; Campante, Filipe",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
Living in Fear: The Dynamics of Extortion in Mexico's Drug War,"Magaloni, Beatriz; Robles, Gustavo; Matanock, Aila M.; Diaz-Cayeros, Alberto; Romero, Vidal",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
The Logic of Violence in Drug War,"Castillo, Juan Camilo; Kronick, Dorothy",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
Backlash: The Unintended Effects of Language Prohibition in U.S. Schools after World War I,"Fouka, Vasiliki",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
The Return of Pachamama,"Molina, Carlos; Selaya, Pablo; Robinson, James A.",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
War of the Waves: Radio and Resistance during World War II,"Gagliarducci, Stefano; Onorato, Massimiliano G.; Sobbrio, Francesco; Tabellini, Guido",2020,0.166666667,0.548811636,0,0,1,0.5,0,0.309762327,2
Misperceived Social Norms: Women Working Outside the Home in Saudi Arabia,"Bursztyn, Leonardo; González, Alessandra; Yanagizawa-Drott, David",2020,0.333333333,0.548811636,0,0,0,1,0,0.309762327,4
From extreme to mainstream: The erosion of social norms,Leonardo Bursztyn; Georgy Egorov; Stefano Fiorin,2020,0.333333333,0.548811636,0,0,0,1,0,0.309762327,4
Weak States: Causes and Consequences of the Sicilian Mafia,"Acemoglu, Daron; De Feo, Giuseppe; De Luca, Giacomo Davide",2020,0.5,0.548811636,0,0,0,0.5,0,0.309762327,6
"Wars, Taxation and Representation: Evidence from Five Centuries of German History","Becker, Sascha; Ferrara, Andreas; Melander, Eric; Pascali, Luigi",2022,0.083333333,0.670320046,0,0,1,0.5,0,0.309064009,1
Political Competition and State Capacity: Evidence from a Land Allocation Program in Mexico,"Fergusson, Leopoldo; Larreguy, Horacio; Riaño, Juan Felipe",2022,0.083333333,0.670320046,0,0,1,0.5,0,0.309064009,1
State Capacity and Economic Development: A Network Approach,"Acemoglu, Daron; Garcia-Jimeno, Camilo; Robinson, James A.",2015,0.25,0.332871084,0,0,1,0.625,0,0.304074217,3
Soap Operas and Fertility: Evidence from Brazil,"La Ferrara, Eliana; Chong, Alberto; Duryea, Suzanne",2012,0.333333333,0.246596964,0,0,1,0.5,0,0.299319393,4
Vote Buying and Social Desirability Bias: Experimental Evidence from Nicaragua,"Gonzalez-Ocantos, Ezequiel; Kiewiet de Jonge, Chad; Meléndez, Carlos; Osorio, Javier; Nickerson, David W.",2012,0.166666667,0.246596964,0,0,1,1,0,0.299319393,2
The Political Resource Curse,"Brollo, Fernanda; Nannicini, Tommaso; Perotti, Roberto; Tabellini, Guido",2012,0.333333333,0.246596964,0,0,1,0.5,0,0.299319393,4
Finding El Dorado: Slavery and Long-run Development in Columbia,"Acemoglu, Daron; Garcia-Jimeno, Camilo; Robinson, James",2012,0.166666667,0.246596964,0,0,1,1,0,0.299319393,2
Vulnerability and Clientelism,"Bobonis, Gustavo J.; Gertler, Paul; Gonzalez-Navarro, Marco; Nichter, Simeon",2019,0.166666667,0.496585304,0,0,1,0.5,0,0.299317061,2
Corruption and Firms,"Colonnelli, Emanuele; Prem, Mounu",2019,0.166666667,0.496585304,0,0,1,0.5,0,0.299317061,2
"Extreme Poverty: How Far Have We Come, and How Far Do We Still Have to Go?","Roser, Max",2023,0.166666667,0.740818221,0,0,0,1,0,0.298163644,2
A Signal to End Child Marriage: Theory and Experimental Evidence from Bangladesh,"Buchmann, N.; Field, E.; Glennerster, R.; Nazneen, S.; Wang, X.",2023,0.166666667,0.740818221,0,0,1,0,0,0.298163644,2
Changing Harmful Norms through Information and Coordination: Experimental Evidence from Somalia,"De Souza, P.; Gulesci, S.; La Ferrara, E.; Smerdon, D.; Sulaiman, M.",2023,0.166666667,0.740818221,0,0,0,1,0,0.298163644,2
The Effect: An Introduction to Research Design and Causality,Nick Huntington-Klein,2021,0.416666667,0.60653066,0,0,0,0.5,0,0.296306132,5
"Beyond State Capacity: Bureaucratic Performance, Policy Implementation and Reform","Williams, Martin",2021,0.083333333,0.60653066,0,0,1,0.5,0,0.296306132,1
The effect of aerial bombardment on insurgent civilian victimization,"Tucker, Colin",2021,0.083333333,0.60653066,0,0,1,0.5,0,0.296306132,1
The Slave Trade and the Origins of Mistrust in Africa,"Nunn, Nathan; Wantchekon, Leonard",2011,0.5,0.22313016,0,0,0,1,0,0.294626032,6
The cycle of violence: Understanding individual participation in collective violence,"Littman, Rebecca; Paluck, Elizabeth Levy",2015,0.083333333,0.332871084,0,0,1,1,0,0.291574217,1
"Inequality, Control Rights, and Rent-Seeking: Sugar Cooperatives in Maharashtra","Banerjee, Abhijit; Mookherjee, Dilip; Munshi, Kaivan; Ray, Debraj",2001,0.25,0.082084999,0,0,1,1,0,0.291417,3
Civil War,"Blattman, Christopher; Miguel, Edward",2010,0.666666667,0.201896518,0,0,0,0.5,0,0.290379304,8
A Network Theory of Civil Liberties and Social Structure,"Erol, Selman; Garcia-Jimeno, Camilo",2016,0.166666667,0.367879441,0,0,1,0.666666667,0,0.290242555,2
Productivity Revisited: Shifting Paradigms in Analysis and Policy,"Cusolito, Ana Paula; Maloney, William F.",2018,0.166666667,0.449328964,0,0,1,0.5,0,0.289865793,2
"Conflict, Protection, and Punishment: Repercussions of Violence in Eastern DR Congo","Lindsey, Summer",2018,0.166666667,0.449328964,0,0,1,0.5,0,0.289865793,2
Should the Randomistas (Continue to) Rule?,"Ravallion, Martin",2018,0.166666667,0.449328964,0,0,1,0.5,0,0.289865793,2
The Contact Hypothesis Re-Evaluated,"Paluck, Elizabeth Levy; Green, Seth A.; Green, Donald P.",2018,0.166666667,0.449328964,0,0,1,0.5,0,0.289865793,2
"Information Dissemination, Competitive Pressure, and Politician Performance between Elections: A Field Experiment in Uganda","Grossman, Guy; Michelitch, Kristin",2018,0.166666667,0.449328964,0,0,1,0.5,0,0.289865793,2
Crowdsourcing Accountability: ICT for Service Delivery,"Grossman, Guy; Platas, Melina R.; Rodden, Jonathan",2018,0.166666667,0.449328964,0,0,1,0.5,0,0.289865793,2
Management of Bureaucrats and Public Service Delivery: Evidence from the Nigerian Civil Service,"Rasul, Imran; Rogger, Daniel",2018,0.5,0.449328964,0,0,0,0.5,0,0.289865793,6
Violent Conflict and Political Development over the Long Run: China Versus Europe,"Dincecco, Mark; Wang, Yuhua",2018,0.083333333,0.449328964,0,0,1,0.75,0,0.289865793,1
Nation Building through Foreign Intervention: Evidence from Discontinuities in Military Strategies,"Dell, Melissa; Querubin, Pablo",2018,0.166666667,0.449328964,0,0,1,0.5,0,0.289865793,2
"The Historical State, Local Collective Action, and Economic Development in Vietnam","Dell, Melissa; Lane, Nathan; Querubin, Pablo",2018,0.166666667,0.449328964,0,0,1,0.5,0,0.289865793,2
"Political Turnover, Bureaucratic Turnover, and the Quality of Public Services","Akhtari, M.; Moreira, D.; Trucco, L.",2018,0.166666667,0.449328964,0,0,1,0.5,0,0.289865793,2
Patronage in the Allocation of Public Sector Jobs,"Colonnelli, E.; Prem, M.; Tesso, E.",2018,0.166666667,0.449328964,0,0,1,0.5,0,0.289865793,2
Participation in Heterogeneous Communities,"Alesina, Alberto; La Ferrara, Eliana",2000,0.25,0.074273578,0,0,1,1,0,0.289854716,3
Corruption as a shared dilemma: Survey evidence from legislators and citizens in three countries,Raymond Fisman; Matteo F. Ferroni; Miriam Golden,2024,0.25,0.818730753,0,0,0,0.5,0,0.288746151,3
Can close election regression discontinuity designs identify effects of winning politician characteristics?,Marshall John,2024,0.25,0.818730753,0,0,0,0.5,0,0.288746151,3
History Matters: The Long-Term Impact of Colonial Public Investments in French West Africa,"Huillery, Elise",2009,0.333333333,0.182683524,0,0,1,0.5,0,0.286536705,4
"Culture: An Empirical Investigation of Beliefs, Work and Fertility","Fernandez, Raquel; Fogli, Alessandra",2009,0.166666667,0.182683524,0,0,1,1,0,0.286536705,2
Group Identity and Social Preferences,"Chen, Yan; Li, Sherry Xin",2009,0.166666667,0.182683524,0,0,1,1,0,0.286536705,2
National Institutions and Sub-National Development in Africa,"Michalopoulos, Stelios; Papaioannou, Elias",2014,0.166666667,0.301194212,0,0,1,0.75,0,0.285238842,2
Explaining population displacement strategies in civil wars: a cross-national analysis,"Lichtenheld, A.",2020,0.083333333,0.548811636,0,0,1,0.5,0,0.284762327,1
How the World Became Rich: The Historical Origins of Economic Growth,"Koyama, Mark; Rubin, Jared",2022,0.5,0.670320046,0,0,0,0,0,0.284064009,6
Measuring Religion from Behavior: Climate Shocks and Religious Adherence in Afghanistan,"Dube, O.; Blumenstock, J.; Callen, M.",2022,0.166666667,0.670320046,0,0,0,1,0,0.284064009,2
"Multinationals, Monopsony, and Local Development: Evidence from the United Fruit Company","Méndez, Esteban; Van Patten, Diana",2022,0.166666667,0.670320046,0,0,0,1,0,0.284064009,2
"On the Dynamics of Human Behavior: The Past, Present, and Future of Culture, Conflict, and Cooperation","Nunn, Nathan",2022,0.166666667,0.670320046,0,0,0,1,0,0.284064009,2
Responsible Sourcing? Theory and Evidence from Costa Rica,"Alfaro-Ureña, Alonso; Faber, Ben; Gaubert, Cecile; Manelici, Isabela; Vasquez, Jose Pablo",2022,0.166666667,0.670320046,0,0,1,0,0,0.284064009,2
Antisocial Norms,"Fergusson, L.; Guerra, J.; Robinson, J.",2022,0.166666667,0.670320046,0,0,0,1,0,0.284064009,2
The Scope of Cooperation: Values and Incentives,"Tabellini, Guido",2008,0.333333333,0.165298888,0,0,1,0.5,0,0.283059778,4
The Debate about the Sources of Growth in East Asia after a Quarter of a Century: Much Ado about Nothing,"Felipe, Jesus; McCombie, John",2017,0.166666667,0.40656966,0,0,1,0.5,0,0.281313932,2
"The Wind of Change: Maritime Technology, Trade, and Economic Development","Pascali, Luigi",2017,0.166666667,0.40656966,0,0,1,0.5,0,0.281313932,2
The Non-Democratic Roots of Elite-Capture: Evidence from Soeharto Mayors in Indonesia,"Martinez-Bravo, Monica; Mukherjee, Priya; Stegmann, Andreas",2017,0.166666667,0.40656966,0,0,1,0.5,0,0.281313932,2
Dishonesty and Selection into Public Service,"Hanna, Rema; Wang, Shing-Yi",2017,0.166666667,0.40656966,0,0,1,0.5,0,0.281313932,2
This Mine Is Mine! How Minerals Fuel Conflicts in Africa,"Berman, Nicolas; Couttenier, Mathieu; Rohner, Dominic; Thoenig, Mathias",2017,0.5,0.40656966,0,0,0,0.5,0,0.281313932,6
Curriculum and Ideology,"Cantoni, Davide; Chen, Yuyu; Yang, David Y.; Yuchtman, Noam; Zhang, Y. Jane",2017,0.166666667,0.40656966,0,0,1,0.5,0,0.281313932,2
Killer Incentives: Status Competition and Pilot Performance during World War II,"Ager, Philipp; Bursztyn, Leonardo; Voth, Hans-Joachim",2017,0.166666667,0.40656966,0,0,1,0.5,0,0.281313932,2
Emotions and Political Unrest,"Passarelli, Francesco; Tabellini, Guido",2017,0.166666667,0.40656966,0,0,1,0.5,0,0.281313932,2
Networks in Conflict: Theory and Evidence from the Great War of Africa,"König, M. D.; Rohner, D.; Thoenig, M.; Zilibotti, F.",2017,0.166666667,0.40656966,0,0,1,0.5,0,0.281313932,2
"The Wind of Change: Maritime Technology, Trade and Economic Development","Pascali, Luigi",2017,0.166666667,0.40656966,0,0,1,0.5,0,0.281313932,2
The Standard Errors of Persistence,"Conley, Timothy G.; Kelly, Morgan",2025,0.166666667,0.904837418,0,0,0,0.5,0,0.280967484,2
Fallow Lengths and the Structure of Property Rights,"Le Rossignol, Etienne; Lowes, Sara; Montero, Eduardo",2025,0.166666667,0.904837418,0,0,0,0.5,0,0.280967484,2
Do Financial Concerns Make Workers Less Productive?,"Kaur, Supreet",2025,0.166666667,0.904837418,0,0,0,0.5,0,0.280967484,2
Do Far-Right Mayors Affect Environmental Policies? Evidence from Italian Municipalities,"Favre, Daniel",2025,0.166666667,0.904837418,0,0,0,0.5,0,0.280967484,2
"Diamonds Are Forever, Wars Are Not: Is Conflict Bad for Private Firms?","Guidolin, Massimo; La Ferrara, Eliana",2007,0.333333333,0.149568619,0,0,1,0.5,0,0.279913724,4
Chiefs: Economic Development and Elite Control of Civil Society in Sierra Leone,"Acemoglu, Daron; Reed, Tristan; Robinson, James",2014,0.5,0.301194212,0,0,0,0.666666667,0,0.276905509,6
A Drawback of Electoral Competition,"Lizzeri, Alessandro; Persico, Nicola",2005,0.333333333,0.122456428,0,0,1,0.5,0,0.274491286,4
